i,p,r,a,t,level,marginal,lower,upper,scale
Austria,housing,L,1,11,61.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,12,50.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,13,56.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,14,40.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,15,41.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,16,46.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,17,49.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,18,54.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,19,44.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,20,44.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,21,32.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,22,20.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,23,24.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,24,21.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,25,22.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,26,18.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,27,20.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,28,17.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,29,6.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,30,2.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,31,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,0,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,1,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,2,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,3,558.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,4,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,5,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,6,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,7,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,8,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,9,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,10,0.0,-0.0,0.0,inf,1.0
