i,p,t,level,marginal,lower,upper,scale
France,nonfood_items_clothing,14,2351.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,15,1040.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,16,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,17,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,18,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,19,768.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,20,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,21,1783.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,22,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,23,1768.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,24,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,25,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,26,665.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,27,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,28,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,29,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,30,0.0,-0.0,0.0,inf,1.0
France,nonfood_items_clothing,31,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,0,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,1,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,2,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,3,35822.0,-0.0,0.0,inf,1.0
Germany,food_clothing,4,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,5,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,6,138463.0,-0.0,0.0,inf,1.0
Germany,food_clothing,7,116008.0,-0.0,0.0,inf,1.0
Germany,food_clothing,8,26076.0,-0.0,0.0,inf,1.0
Germany,food_clothing,9,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,10,42061.0,-0.0,0.0,inf,1.0
Germany,food_clothing,11,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,12,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,13,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,14,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,15,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,16,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,17,11238.0,-0.0,0.0,inf,1.0
Germany,food_clothing,18,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,19,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,20,27047.0,-0.0,0.0,inf,1.0
Germany,food_clothing,21,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,22,0.0,-0.0,0.0,inf,1.0
Germany,food_clothing,23,0.0,-0.0,0.0,inf,1.0
