i,s,t,level,marginal,lower,upper,scale
Hungry,medical,22,3.0,1200.0,0.0,inf,1.0
Hungry,medical,23,4.0,1200.0,0.0,inf,1.0
Hungry,medical,24,4.0,1200.0,0.0,inf,1.0
Hungry,medical,25,4.0,1200.0,0.0,inf,1.0
Hungry,medical,26,4.0,1200.0,0.0,inf,1.0
Hungry,medical,27,4.0,1200.0,0.0,inf,1.0
Hungry,medical,28,4.0,1200.0,0.0,inf,1.0
Hungry,medical,29,4.0,1200.0,0.0,inf,1.0
Hungry,medical,30,4.0,1200.0,0.0,inf,1.0
Hungry,medical,31,4.0,1200.0,0.0,inf,1.0
Moldova,info_legal,0,0.0,1000.0,0.0,inf,1.0
Moldova,info_legal,1,2.0,1000.0,0.0,inf,1.0
Moldova,info_legal,2,3.0,1000.0,0.0,inf,1.0
Moldova,info_legal,3,4.0,1000.0,0.0,inf,1.0
Moldova,info_legal,4,6.0,1000.0,0.0,inf,1.0
Moldova,info_legal,5,6.999999999995808,1000.0,0.0,inf,1.0
Moldova,info_legal,6,8.0,1000.0,0.0,inf,1.0
Moldova,info_legal,7,7.0,1000.0,0.0,inf,1.0
Moldova,info_legal,8,7.0,1000.0,0.0,inf,1.0
Moldova,info_legal,9,9.0,1000.0,0.0,inf,1.0
Moldova,info_legal,10,10.0,1000.0,0.0,inf,1.0
Moldova,info_legal,11,11.0,1000.0,0.0,inf,1.0
Moldova,info_legal,12,11.0,1000.0,0.0,inf,1.0
Moldova,info_legal,13,11.0,1000.0,0.0,inf,1.0
Moldova,info_legal,14,12.0,1000.0,0.0,inf,1.0
Moldova,info_legal,15,12.0,1000.0,0.0,inf,1.0
Moldova,info_legal,16,12.0,1000.0,0.0,inf,1.0
Moldova,info_legal,17,12.0,1000.0,0.0,inf,1.0
Moldova,info_legal,18,12.0,1000.0,0.0,inf,1.0
Moldova,info_legal,19,12.0,1000.0,0.0,inf,1.0
Moldova,info_legal,20,12.0,1000.0,0.0,inf,1.0
Moldova,info_legal,21,12.0,1000.0,0.0,inf,1.0
Moldova,info_legal,22,12.0,1000.0,0.0,inf,1.0
Moldova,info_legal,23,12.0,1000.0,0.0,inf,1.0
Moldova,info_legal,24,12.0,1000.0,0.0,inf,1.0
Moldova,info_legal,25,12.0,1000.0,0.0,inf,1.0
Moldova,info_legal,26,12.0,1000.0,0.0,inf,1.0
Moldova,info_legal,27,12.0,1000.0,0.0,inf,1.0
Moldova,info_legal,28,12.0,1000.0,0.0,inf,1.0
Moldova,info_legal,29,12.0,1000.0,0.0,inf,1.0
Moldova,info_legal,30,12.0,1000.0,0.0,inf,1.0
Moldova,info_legal,31,12.0,1000.0,0.0,inf,1.0
Moldova,medical,0,0.0,1200.0,0.0,inf,1.0
Moldova,medical,1,12.0,1200.0,0.0,inf,1.0
Moldova,medical,2,12.0,1200.0,0.0,inf,1.0
Moldova,medical,3,12.0,1200.0,0.0,inf,1.0
Moldova,medical,4,12.0,1200.0,0.0,inf,1.0
Moldova,medical,5,12.0,1200.0,0.0,inf,1.0
Moldova,medical,6,12.0,1200.0,0.0,inf,1.0
Moldova,medical,7,12.0,1200.0,0.0,inf,1.0
Moldova,medical,8,12.0,1200.0,0.0,inf,1.0
Moldova,medical,9,12.0,1200.0,0.0,inf,1.0
Moldova,medical,10,12.0,1200.0,0.0,inf,1.0
Moldova,medical,11,12.0,1200.0,0.0,inf,1.0
Moldova,medical,12,12.0,1200.0,0.0,inf,1.0
Moldova,medical,13,12.0,1200.0,0.0,inf,1.0
Moldova,medical,14,12.0,1200.0,0.0,inf,1.0
Moldova,medical,15,12.0,1200.0,0.0,inf,1.0
Moldova,medical,16,12.0,1200.0,0.0,inf,1.0
Moldova,medical,17,12.0,1200.0,0.0,inf,1.0
Moldova,medical,18,12.0,1200.0,0.0,inf,1.0
Moldova,medical,19,12.0,1200.0,0.0,inf,1.0
Moldova,medical,20,12.0,1200.0,0.0,inf,1.0
Moldova,medical,21,12.0,1200.0,0.0,inf,1.0
Moldova,medical,22,12.0,1200.0,0.0,inf,1.0
Moldova,medical,23,12.0,1200.0,0.0,inf,1.0
Moldova,medical,24,12.0,1200.0,0.0,inf,1.0
Moldova,medical,25,12.0,1200.0,0.0,inf,1.0
Moldova,medical,26,12.0,1200.0,0.0,inf,1.0
Moldova,medical,27,12.0,1200.0,0.0,inf,1.0
Moldova,medical,28,12.0,1200.0,0.0,inf,1.0
Moldova,medical,29,12.0,1200.0,0.0,inf,1.0
Moldova,medical,30,12.0,1200.0,0.0,inf,1.0
Moldova,medical,31,12.0,1200.0,0.0,inf,1.0
Poland,info_legal,0,0.0,1000.0,0.0,inf,1.0
Poland,info_legal,1,0.0,1000.0,0.0,inf,1.0
Poland,info_legal,2,0.0,1000.0,0.0,inf,1.0
Poland,info_legal,3,0.0,1000.0,0.0,inf,1.0
